pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,5,0,20,0,,,,,57.99466770800018,58.98901062499999,58.98901062499999,58.98901062499999,58.98901062499999,58.98901062499999,59.986629625000205,59.986629625000205,x,1,0.2381508749999739,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,5,1,21,1,,,,,60.236682166000264,61.22328895800001,61.22328895800001,61.22328895800001,61.22328895800001,61.232296958000006,62.2287624999999,62.2287624999999,v,1,0.2701812499999505,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,5,2,22,2,,,,,62.51222516600001,63.505885500000204,63.505885500000204,63.505885500000204,63.505885500000204,63.505885500000204,64.49562595799989,64.49562595799989,c,1,0.21719991700001628,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,5,3,23,3,,,,,64.72881870800029,66.07898945800025,66.07898945800025,66.07898945800025,66.07898945800025,66.07898945800025,66.72030345800022,66.72030345800022,z,1,0.25596720799967443,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,6,0,24,0,,,,,66.98713208300023,67.97402808300012,67.97402808300012,67.97402808300012,67.97402808300012,67.983419916,68.97907508300023,68.97907508300023,x,1,0.2336443760000293,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,6,1,25,1,,,,,69.22901195800023,70.22326675000022,70.22326675000022,70.22326675000022,70.22326675000022,70.22326675000022,71.22048674999996,71.22048674999996,v,1,0.2565530840001884,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,6,2,26,2,,,,,71.48685312499993,72.4740527910003,72.4740527910003,72.4740527910003,72.4740527910003,72.48350699999992,73.47921983300012,73.47921983300012,c,1,0.2378699589999087,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,6,3,27,3,,,,,73.7287060409999,74.72294729100031,74.72294729100031,74.72294729100031,74.72294729100031,74.72294729100031,75.7206060829999,75.7206060829999,z,1,0.2919696250000925,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,7,0,28,0,,,,,76.02074062500014,77.01296783299995,77.01296783299995,77.01296783299995,77.01296783299995,77.02262816600023,78.01264124999989,78.01264124999989,x,1,0.2422142509999503,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,7,1,29,1,,,,,78.27048887499996,79.26263941600018,79.26263941600018,79.26263941600018,79.26263941600018,79.26263941600018,80.26269641599993,80.26269641599993,v,1,0.22597804199995153,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,7,2,30,2,,,,,80.50392837500021,81.49137070799998,81.49137070799998,81.49137070799998,81.49137070799998,81.50082095800008,82.48762583300004,82.48762583300004,c,1,0.24214449999999488,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,7,3,31,3,,,,,82.74615795799991,83.74000537500024,83.74000537500024,83.74000537500024,83.74000537500024,83.74000537500024,84.73778783299986,84.73778783299986,z,1,0.24553983299983884,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,8,0,32,0,,,,,84.99634708300027,85.99659724999992,85.99659724999992,85.99659724999992,85.99659724999992,86.01366995800026,86.97963962499989,86.97963962499989,x,1,0.052682624999761174,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,8,1,33,1,,,,,87.04657504099987,88.04097004100004,88.04097004100004,88.04097004100004,88.04097004100004,88.04097004100004,89.03842520800026,89.03842520800026,v,1,0.4416693339999256,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,8,2,34,2,,,,,89.49951129100009,90.49117683300028,90.49117683300028,90.49117683300028,90.49117683300028,90.5000930000001,91.48806775000003,91.48806775000003,c,1,0.2634511669998574,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,8,3,35,3,,,,,91.76332166600014,92.75683720799998,92.75683720799998,92.75683720799998,92.75683720799998,92.75683720799998,93.75458062500002,93.75458062500002,z,1,0.20161304200019003,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,9,0,36,0,,,,,93.9712468749999,94.95857516600017,94.95857516600017,94.95857516600017,94.95857516600017,94.96764974999996,95.95514150000008,95.95514150000008,x,1,0.26658104199987065,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,9,1,37,1,,,,,96.23796191600013,97.2254925000002,97.2254925000002,97.2254925000002,97.2254925000002,97.23490145799997,98.23009016600008,98.23009016600008,v,1,0.21054737499980547,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,9,2,38,2,,,,,98.45450341600008,99.44189966600015,99.44189966600015,99.44189966600015,99.44189966600015,99.45095479100019,100.44683250000026,100.44683250000026,c,1,0.23474350100013908,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,9,3,39,3,,,,,100.69683133299986,101.6970784160003,101.6970784160003,101.6970784160003,101.6970784160003,101.71416816600004,102.68024737499991,102.68024737499991,z,1,0.27275491699992926,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,10,0,40,0,,,,,102.96375824999996,103.9499236659999,103.9499236659999,103.9499236659999,103.9499236659999,103.96433366600013,104.95526766600005,104.95526766600005,x,1,0.3123589169999832,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,10,1,41,1,,,,,105.27988975000017,106.27480462499989,106.27480462499989,106.27480462499989,106.27480462499989,106.27480462499989,107.27167954100014,107.27167954100014,v,1,0.26649762500028373,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,10,2,42,2,,,,,107.55293429099993,108.54205000000002,108.54205000000002,108.54205000000002,108.54205000000002,108.55112591600027,109.53864700000031,109.53864700000031,c,1,0.23471441699985007,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,10,3,43,3,,,,,109.7886033750001,110.77599179100025,110.77599179100025,110.77599179100025,110.77599179100025,110.78538733300002,111.78059487500013,111.78059487500013,z,1,0.1953032510000412,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,11,0,44,0,,,,,111.98861066600011,112.97538170799999,112.97538170799999,112.97538170799999,112.97538170799999,112.98448391600004,113.97236712499989,113.97236712499989,x,1,0.3218093749997024,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,11,1,45,1,,,,,114.30544141600012,115.2927441249999,115.2927441249999,115.2927441249999,115.2927441249999,115.30184087499993,116.28929029100027,116.28929029100027,v,1,0.22988233400019453,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,11,2,46,2,,,,,116.53080216600029,117.53091791599991,117.53091791599991,117.53091791599991,117.53091791599991,117.54812362500024,118.52214666600003,118.52214666600003,c,1,0.19805237499986106,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,11,3,47,3,,,,,118.73056933299995,119.72430995800005,119.72430995800005,119.72430995800005,119.72430995800005,119.72430995800005,120.72241287499992,120.72241287499992,z,1,0.27320495799995115,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,12,0,48,0,,,,,121.00537879100011,121.99322366600018,121.99322366600018,121.99322366600018,121.99322366600018,122.0023351660002,122.99771212499991,122.99771212499991,x,1,0.2258057919998464,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,12,1,49,1,,,,,123.23849000000018,124.22593991600024,124.22593991600024,124.22593991600024,124.22593991600024,124.23483783300026,125.22249633299998,125.22249633299998,v,1,0.26497970799982795,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,12,2,50,2,,,,,125.49793379099992,126.49198845799992,126.49198845799992,126.49198845799992,126.49198845799992,126.49198845799992,127.48922179100009,127.48922179100009,c,1,0.18030904199986253,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,12,3,51,3,,,,,127.6803315000002,128.6754540410002,128.6754540410002,128.6754540410002,128.6754540410002,128.6754540410002,129.67312812499995,129.67312812499995,z,1,0.25902733300017644,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,13,0,52,0,,,,,129.94805700000006,130.94209420800007,130.94209420800007,130.94209420800007,130.94209420800007,130.94209420800007,131.93947845799994,131.93947845799994,x,1,0.3166201670001101,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,13,1,53,1,,,,,132.27214666600003,133.2600402080002,133.2600402080002,133.2600402080002,133.2600402080002,133.26906820800014,134.26468837499988,134.26468837499988,v,1,0.37884783399977096,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
